rho_1,theta_1,field_strength
0,0,56.9914
600000,0,49.1417
1.2e+06,0,36.6664
1.8e+06,0,26.3421
2.4e+06,0,19.1811
3e+06,0,14.3184
3.6e+06,0,10.9415
4.2e+06,0,8.52917
4.8e+06,0,6.76199
5.4e+06,0,5.4397
6e+06,0,4.43253
0,0.0628319,56.9914
600000,0.0628319,49.1958
1.2e+06,0.0628319,36.7458
1.8e+06,0.0628319,26.4016
2.4e+06,0.0628319,19.2179
3e+06,0.0628319,14.3413
3.6e+06,0.0628319,10.9564
4.2e+06,0.0628319,8.53931
4.8e+06,0.0628319,6.76915
5.4e+06,0.0628319,5.44491
6e+06,0.0628319,4.43641
0,0.125664,56.9914
600000,0.125664,49.2602
1.2e+06,0.125664,36.8396
1.8e+06,0.125664,26.4719
2.4e+06,0.125664,19.2615
3e+06,0.125664,14.3684
3.6e+06,0.125664,10.9741
4.2e+06,0.125664,8.55139
4.8e+06,0.125664,6.77769
5.4e+06,0.125664,5.45113
6e+06,0.125664,4.44104
0,0.188496,56.9914
600000,0.188496,49.3343
1.2e+06,0.188496,36.9464
1.8e+06,0.188496,26.5518
2.4e+06,0.188496,19.3112
3e+06,0.188496,14.3995
3.6e+06,0.188496,10.9944
4.2e+06,0.188496,8.56528
4.8e+06,0.188496,6.78753
5.4e+06,0.188496,5.4583
6e+06,0.188496,4.44639
0,0.251327,56.9914
600000,0.251327,49.4171
1.2e+06,0.251327,37.0646
1.8e+06,0.251327,26.6401
2.4e+06,0.251327,19.3664
3e+06,0.251327,14.4341
3.6e+06,0.251327,11.0171
4.2e+06,0.251327,8.58085
4.8e+06,0.251327,6.79858
5.4e+06,0.251327,5.46636
6e+06,0.251327,4.4524
0,0.314159,56.9914
600000,0.314159,49.508
1.2e+06,0.314159,37.1926
1.8e+06,0.314159,26.7357
2.4e+06,0.314159,19.4263
3e+06,0.314159,14.4719
3.6e+06,0.314159,11.042
4.2e+06,0.314159,8.59794
4.8e+06,0.314159,6.81074
5.4e+06,0.314159,5.47525
6e+06,0.314159,4.45904
0,0.376991,56.9914
600000,0.376991,49.6059
1.2e+06,0.376991,37.3286
1.8e+06,0.376991,26.8372
2.4e+06,0.376991,19.4902
3e+06,0.376991,14.5124
3.6e+06,0.376991,11.0688
4.2e+06,0.376991,8.6164
4.8e+06,0.376991,6.82389
5.4e+06,0.376991,5.48487
6e+06,0.376991,4.46625
0,0.439823,56.9914
600000,0.439823,49.71
1.2e+06,0.439823,37.4709
1.8e+06,0.439823,26.9433
2.4e+06,0.439823,19.5574
3e+06,0.439823,14.5552
3.6e+06,0.439823,11.0972
4.2e+06,0.439823,8.63604
4.8e+06,0.439823,6.83792
5.4e+06,0.439823,5.49517
6e+06,0.439823,4.47396
0,0.502655,56.9914
600000,0.502655,49.8194
1.2e+06,0.502655,37.6179
1.8e+06,0.502655,27.0528
2.4e+06,0.502655,19.6272
3e+06,0.502655,14.5999
3.6e+06,0.502655,11.127
4.2e+06,0.502655,8.65672
4.8e+06,0.502655,6.85273
5.4e+06,0.502655,5.50605
6e+06,0.502655,4.48213
0,0.565487,56.9914
600000,0.565487,49.9331
1.2e+06,0.565487,37.768
1.8e+06,0.565487,27.1644
2.4e+06,0.565487,19.6988
3e+06,0.565487,14.6461
3.6e+06,0.565487,11.158
4.2e+06,0.565487,8.67825
4.8e+06,0.565487,6.86819
5.4e+06,0.565487,5.51744
6e+06,0.565487,4.49069
0,0.628319,56.9914
600000,0.628319,50.0503
1.2e+06,0.628319,37.9199
1.8e+06,0.628319,27.2772
2.4e+06,0.628319,19.7715
3e+06,0.628319,14.6933
3.6e+06,0.628319,11.1898
4.2e+06,0.628319,8.70047
4.8e+06,0.628319,6.88419
5.4e+06,0.628319,5.52925
6e+06,0.628319,4.49959
0,0.69115,56.9914
600000,0.69115,50.17
1.2e+06,0.69115,38.0721
1.8e+06,0.69115,27.3901
2.4e+06,0.69115,19.8448
